timestamp,pos_error_m,heading_error_deg,velocity_error_mps,time_diff_s
1662794095.322350,0.137493,0.107196,0.033676,0.040422
1662794095.342580,0.070349,0.108887,0.002110,0.020231
1662794095.564690,0.250032,0.009427,0.017425,0.080688
1662794095.645446,0.260437,0.005031,0.044646,0.080756
1662794095.665616,0.069847,0.593313,0.046308,0.020170
1662794095.735016,0.000000,0.000000,0.000000,0.000000
1662794095.775434,0.133618,0.060354,0.020043,0.040418
1662794095.815877,0.000000,0.000000,0.000000,0.000000
1662794095.896776,0.234258,0.065248,0.025065,0.080899
1662794096.044242,0.000000,0.000000,0.000000,0.000000
1662794096.064389,0.000000,0.000000,0.000000,0.000000
1662794096.145186,0.205307,0.461710,0.076653,0.080797
1662794096.226150,0.255901,0.308281,0.017310,0.080964
1662794096.328479,0.000000,0.000000,0.000000,0.000000
1662794096.579223,0.000000,0.000000,0.000000,0.000000
1662794096.903085,0.351567,2.876915,0.032004,0.000000
1662794097.125473,0.318341,0.548159,0.010843,0.000000
1662794097.387834,0.248202,2.107158,0.037796,0.040435
1662794097.631551,0.265982,7.197714,0.007204,0.000000
1662794097.631551,0.085164,7.197714,0.006077,0.000000
1662794097.672318,0.175696,0.594545,0.056632,0.040767
1662794097.995399,0.300271,4.295797,0.023216,0.000000
1662794098.140088,0.365565,10.196212,0.010624,0.000000
1662794098.140088,0.056293,10.196212,0.044639,0.000000
1662794098.588972,0.000000,0.000000,0.000000,0.000000
1662794098.712832,0.295733,7.059610,0.027241,0.000000
1662794098.733025,0.000000,0.000000,0.000000,0.000000
1662794098.733025,0.190258,0.000000,0.002925,0.000000
1662794098.813768,0.039449,4.719537,0.015434,0.080743
1662794099.080871,0.258404,2.463261,0.044438,0.000000
1662794099.363684,0.336907,5.123667,0.002181,0.000000
1662794099.404172,0.328057,6.769882,0.003622,0.000000
1662794099.404172,0.057375,6.769882,0.023142,0.000000
1662794099.485371,0.264958,3.275422,0.022869,0.081199
1662794099.586891,0.389238,3.672359,0.005714,0.000000
1662794099.729357,0.421238,4.290780,0.036900,0.000000
1662794099.851959,0.410620,6.600592,0.035159,0.000000
1662794099.851959,0.085164,6.600592,0.058355,0.000000
1662794099.872183,0.567392,2.290784,0.064804,0.020224
1662794100.137596,0.532034,4.358573,0.029863,0.000000
1662794100.259774,0.547693,4.769882,0.023618,0.000000
1662794100.320436,0.488599,6.166622,0.031003,0.000000
1662794100.361099,0.611240,5.495607,0.013057,0.040663
1662794100.361099,0.463752,0.000000,0.017409,0.000000
1662794100.421722,0.285918,7.395941,0.075430,0.060622
1662794100.785398,0.323147,4.908829,0.042864,0.040350
1662794100.785398,0.214726,0.000000,0.022118,0.000000
1662794100.866215,0.000000,0.000000,0.000000,0.000000
1662794101.068252,0.378441,6.223280,0.013510,0.020181
1662794101.068252,0.255604,0.000000,0.020422,0.000000
1662794101.068252,0.222916,0.000000,0.018947,0.000000
1662794101.149271,0.141651,3.558874,0.061272,0.081019
1662794101.189744,0.104748,1.789048,0.011123,0.040472
1662794101.250299,0.000000,0.000000,0.000000,0.000000
1662794101.310849,0.000000,0.000000,0.000000,0.000000
1662794101.371355,0.175831,0.453189,0.033710,0.060505
1662794101.452183,0.220907,0.904288,0.034464,0.080829
1662794101.478730,0.000000,0.000000,0.000000,0.000000
1662794101.560480,0.060361,3.030844,0.017233,0.081750
1662794101.621046,0.000000,0.000000,0.000000,0.000000
1662794101.845651,0.000000,0.000000,0.000000,0.000000
1662794102.355887,0.000000,0.000000,0.000000,0.000000
1662794102.416394,0.000000,0.000000,0.000000,0.000000
1662794102.497099,0.000000,0.000000,0.000000,0.000000
1662794102.557713,0.351093,8.834406,0.050401,0.060613
1662794102.638420,0.000000,0.000000,0.000000,0.000000
1662794102.802862,0.130898,1.631542,0.012314,0.062511
1662794102.843285,0.208162,0.741956,0.042763,0.040423
1662794102.924034,0.410888,4.963848,0.077368,0.080749
1662794103.027283,0.000000,0.000000,0.000000,0.000000
1662794103.108155,0.000000,0.000000,0.000000,0.000000
1662794103.170901,0.164063,0.668728,0.052303,0.062746
1662794103.251767,0.318038,1.027145,0.002538,0.080866
1662794103.312399,0.219548,0.637964,0.072335,0.060632
1662794103.352758,0.124861,0.294737,0.015707,0.040360
1662794103.575058,0.000000,0.000000,0.000000,0.000000
1662794103.716746,0.000000,0.000000,0.000000,0.000000
1662794103.837829,0.000000,0.000000,0.000000,0.000000
1662794103.898409,0.000000,0.000000,0.000000,0.000000
1662794103.938869,0.000000,0.000000,0.000000,0.000000
1662794104.121518,0.496452,0.647837,0.023726,0.080686
1662794104.774335,0.000000,0.000000,0.000000,0.000000
1662794104.834924,0.143019,1.178156,0.023788,0.060589
1662794105.341201,0.073952,3.175655,0.025043,0.060612
1662794105.786910,0.000000,0.000000,0.000000,0.000000
1662794105.993331,0.000000,0.000000,0.000000,0.000000
1662794106.074426,0.286628,0.813143,0.036906,0.081095
1662794106.405981,0.000000,0.000000,0.000000,0.000000
1662794106.466650,0.000000,0.000000,0.000000,0.000000
1662794106.649711,0.000000,0.000000,0.000000,0.000000
1662794106.873625,0.000000,0.000000,0.000000,0.000000
1662794107.014836,0.000000,0.000000,0.000000,0.000000
1662794107.075471,0.000000,0.000000,0.000000,0.000000
