epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,939.247,0.508,0.24405,0.00081,0.85868,0.92495,0.93312,0.82198,0.65317,0.37651,0.00113,0.00045285,0.00045285,0.00045285
71,952.332,0.5188,0.24759,0.00082,0.88793,0.89985,0.93277,0.84088,0.59782,0.38164,0.00101,0.000438703,0.000438703,0.000438703
72,965.46,0.53177,0.28565,0.00086,0.88021,0.91811,0.93861,0.83298,0.63628,0.36777,0.00112,0.000424556,0.000424556,0.000424556
73,978.538,0.55935,0.26941,0.00087,0.89506,0.90827,0.93901,0.82623,0.66988,0.36358,0.00117,0.000410409,0.000410409,0.000410409
74,991.612,0.54728,0.2678,0.00087,0.90364,0.89923,0.94067,0.84101,0.63594,0.35092,0.0011,0.000396262,0.000396262,0.000396262
75,1004.74,0.50482,0.25617,0.0009,0.88239,0.91911,0.94578,0.84917,0.60622,0.34442,0.00105,0.000382115,0.000382115,0.000382115
76,1018.05,0.52283,0.2591,0.00087,0.91343,0.88367,0.94696,0.84578,0.62579,0.35259,0.0011,0.000367967,0.000367967,0.000367967
77,1031.17,0.51285,0.25894,0.00091,0.91546,0.88197,0.94108,0.83312,0.62529,0.3972,0.00106,0.00035382,0.00035382,0.00035382
78,1044.28,0.50963,0.23005,0.00077,0.88679,0.9105,0.93694,0.8321,0.61609,0.38881,0.00105,0.000339673,0.000339673,0.000339673
79,1057.4,0.49926,0.2331,0.00078,0.8892,0.9085,0.93123,0.83039,0.61525,0.38378,0.00106,0.000325526,0.000325526,0.000325526
80,1070.54,0.50369,0.23351,0.00082,0.89632,0.89461,0.92911,0.83449,0.60081,0.38155,0.00101,0.000311379,0.000311379,0.000311379
81,1083.66,0.51603,0.23857,0.00074,0.9151,0.87934,0.93383,0.83625,0.60655,0.38682,0.00103,0.000297232,0.000297232,0.000297232
82,1096.82,0.49134,0.23956,0.00081,0.90934,0.88533,0.93772,0.83453,0.61854,0.39154,0.00103,0.000283085,0.000283085,0.000283085
83,1109.87,0.4922,0.22987,0.0007,0.88491,0.90788,0.93652,0.84214,0.60317,0.37908,0.00101,0.000268938,0.000268938,0.000268938
84,1123.06,0.49619,0.22978,0.00074,0.8921,0.90501,0.93674,0.8412,0.58761,0.37639,0.00099,0.000254791,0.000254791,0.000254791
85,1136.18,0.47319,0.22827,0.00075,0.91526,0.89288,0.94003,0.84554,0.59289,0.3765,0.00102,0.000240644,0.000240644,0.000240644
86,1149.35,0.48703,0.21869,0.00074,0.90761,0.89491,0.93808,0.84915,0.59392,0.37005,0.00099,0.000226497,0.000226497,0.000226497
87,1162.53,0.46062,0.22685,0.0008,0.89715,0.90452,0.93469,0.84817,0.59012,0.38163,0.00099,0.000212349,0.000212349,0.000212349
88,1175.74,0.47996,0.21411,0.00069,0.91556,0.89188,0.941,0.85292,0.58166,0.37795,0.001,0.000198202,0.000198202,0.000198202
89,1189.06,0.49121,0.21225,0.00073,0.92144,0.89056,0.94209,0.84532,0.58751,0.3779,0.00097,0.000184055,0.000184055,0.000184055
90,1202.31,0.46948,0.22572,0.00075,0.91878,0.89011,0.94572,0.84916,0.59377,0.37697,0.00099,0.000169908,0.000169908,0.000169908
91,1216.74,0.45903,0.20691,0.00073,0.93032,0.89443,0.94062,0.84734,0.59389,0.36785,0.001,0.000155761,0.000155761,0.000155761
92,1229.8,0.43444,0.21563,0.00079,0.92583,0.89987,0.93682,0.83505,0.61409,0.38914,0.00104,0.000141614,0.000141614,0.000141614
93,1242.8,0.46906,0.20133,0.00075,0.9174,0.9004,0.93507,0.82983,0.63518,0.40129,0.00108,0.000127467,0.000127467,0.000127467
94,1255.69,0.43325,0.19835,0.00069,0.90871,0.90785,0.93267,0.83536,0.61296,0.40371,0.00103,0.00011332,0.00011332,0.00011332
95,1268.66,0.41391,0.19423,0.00073,0.91669,0.90208,0.93149,0.83604,0.60524,0.40584,0.001,9.91726e-05,9.91726e-05,9.91726e-05
96,1281.74,0.43348,0.18874,0.00076,0.91844,0.90403,0.93191,0.83206,0.61165,0.41261,0.00102,8.50255e-05,8.50255e-05,8.50255e-05
97,1294.77,0.4443,0.19724,0.00071,0.92796,0.89804,0.93128,0.8355,0.61077,0.41815,0.001,7.08784e-05,7.08784e-05,7.08784e-05
98,1307.78,0.45573,0.19844,0.00074,0.92731,0.90083,0.93187,0.83713,0.60042,0.42055,0.00098,5.67313e-05,5.67313e-05,5.67313e-05
99,1320.89,0.39959,0.19475,0.00068,0.91153,0.91052,0.93214,0.84059,0.5911,0.42151,0.00097,4.25842e-05,4.25842e-05,4.25842e-05
100,1333.99,0.42439,0.1854,0.00077,0.90598,0.91283,0.93238,0.83899,0.59739,0.4219,0.00098,2.84371e-05,2.84371e-05,2.84371e-05
